search	psearch_time	psearch_conv_time	arch_extraction_time	raw_hits_cnt	pct_query_w_raw_hits	usable_hits_cnt	pct_query_w_usable_hits	arch_cnt	pct_query_w_arch	threads
18-pfama.mmseqs	23.990	0.050	0.040	929	18.725	590	12.594	251	7.581	1
88-pfama.mmseqs	23.890	0.020	0.040	1157	34.741	804	25.991	353	15.216	1
94-pfama.mmseqs	23.860	0.110	0.040	1589	53.601	843	28.808	318	13.880	1
19-pfama.mmseqs	26.630	0.020	0.040	983	21.276	601	13.545	268	8.422	1
57-pfama.mmseqs	27.400	0.020	0.050	1508	42.264	1095	34.932	317	12.772	1
89-pfama.mmseqs	27.310	0.050	0.050	1151	34.689	812	26.557	360	15.571	1
130-pfama.mmseqs	27.420	0.100	0.050	1077	32.015	707	22.432	310	13.322	1
68-pfama.mmseqs	27.980	0.060	0.050	1512	41.815	1115	34.839	322	12.763	1
11-pfama.mmseqs	28.300	0.070	0.040	1587	41.997	1010	27.354	273	9.085	1
59-pfama.mmseqs	28.250	0.030	0.260	1201	32.412	827	24.078	353	13.556	1
72-pfama.mmseqs	28.380	0.020	0.050	1168	33.306	778	24.002	330	13.586	1
129-pfama.mmseqs	28.690	0.020	0.040	1050	26.521	723	19.542	270	9.664	1
74-pfama.mmseqs	28.830	0.020	0.040	1201	31.820	817	23.586	347	13.351	1
12-pfama.mmseqs	29.430	0.020	0.050	1592	41.995	1014	27.378	276	9.148	1
71-pfama.mmseqs	29.130	0.020	0.040	1179	34.092	816	25.790	347	14.623	1
127-pfama.mmseqs	29.270	0.020	0.050	1902	50.483	1414	44.239	372	14.988	1
142-pfama.mmseqs	29.370	0.020	0.050	1168	32.043	823	24.729	248	9.598	1
24-pfama.mmseqs	30.110	0.020	0.050	802	20.787	596	17.425	242	9.922	1
111-pfama.mmseqs	30.000	0.020	0.060	1104	32.533	788	25.242	360	15.171	1
65-pfama.mmseqs	30.220	0.020	0.050	1118	32.043	749	23.263	323	13.442	1
75-pfama.mmseqs	30.680	0.050	0.060	1301	31.696	881	23.145	364	12.862	1
90-pfama.mmseqs	30.470	0.020	0.060	1159	34.991	804	26.125	350	15.138	1
92-pfama.mmseqs	31.290	0.020	0.050	1461	33.986	1131	30.068	336	11.351	1
136-pfama.mmseqs	31.590	0.020	0.070	1957	42.461	1280	28.560	283	7.408	1
87-pfama.mmseqs	32.560	0.070	0.080	2102	52.933	1404	42.740	369	13.197	1
125-pfama.mmseqs	32.820	0.060	0.080	1851	40.897	1246	29.507	361	10.652	1
37-pfama.mmseqs	33.670	0.020	0.070	1562	36.035	1135	29.406	330	10.830	1
143-pfama.mmseqs	33.680	0.030	0.070	1248	35.410	951	29.635	395	15.008	1
160-pfama.mmseqs	33.830	0.040	0.110	1084	31.302	768	24.207	343	14.316	1
58-pfama.mmseqs	34.720	0.030	0.080	1559	39.890	1136	32.965	323	11.897	1
147-pfama.mmseqs	35.890	0.020	0.060	1508	44.123	916	27.697	275	10.197	1
8-pfama.mmseqs	37.370	0.070	0.050	1625	39.856	1193	31.741	300	11.377	1
1-pfama.mmseqs	20.480	0.030	0.030	1073	34.480	684	24.072	245	11.233	1
77-pfama.mmseqs	24.200	0.020	0.030	1134	34.619	758	25.336	318	14.260	1
131-pfama.mmseqs	24.950	0.090	0.200	1185	35.517	865	29.590	233	10.383	1
